URL,DSLD_ID,Product_Name,Brand_Name,Bar_Code,Net_Contents,Serving_Size,Product_Type,Supplement_Form,Date Entered into DSLD,Market Status,Suggested_Use
https://dsld.od.nih.gov/label/237784,237784,Muira Puama and Catuaba,Hawaii Pharm,65095463631,4 Fluid Ounce(s); 120 mL,0.7 mL [20-30 drops],Botanical [A1306],Liquid [E0165],2020-10-23,On Market,Directions for use:Shake well before using. Take about 20-30 drops (0.7-1 ml; one full squeeze of the dropper bulb) to 2-4 oz of juice or water up to 4 times per day.
https://dsld.od.nih.gov/label/238521,238521,StressAssist,Futurebiotics,49479025077,60 Vegetarian Capsule(s),2 Capsule(s),Other Combinations [A1325],Capsule [E0159],2020-10-23,On Market,Directions: As a dietary supplement for adults; take 2 capsules daily; preferably with meals.
https://dsld.od.nih.gov/label/238553,238553,Burn XT,Jacked Factory,40232372445,60 Veggie Capsule(s),1 Capsule(s),Other Combinations [A1325],Capsule [E0159],2020-10-23,On Market,Initial use: Consume 1 capsule with a meal.Regular use: Consume 1 capsule two times per day with a meal.Experienced use: Consume 2 capsules two times per day with a meal.We recommend not taking on an empty stomach. Avoid taking within 5-6 hours of going to sleep and do not exceed 4 capsules in a 24 hour period. For best results; use for 60 days in combination with diet and exercise. Drink plenty of water throughout the day to avoid dehydration.
https://dsld.od.nih.gov/label/238561,238561,Alive! Men's Energy,Nature's Way,33674601945,50 Tablet(s),1 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2020-10-23,Off Market,Recommendation: Men take 1 tablet daily; preferably with food. Once daily
https://dsld.od.nih.gov/label/238603,238603,Megasorb B-Complex '50',Solgar,33984017511,100 Tablet(s),0.7 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2020-10-23,On Market,Suggested Use: As a dietary supplement for adults; take one (1) tablet daily; preferably with a meal; or as directed by a healthcare practitioner.
https://dsld.od.nih.gov/label/238627,238627,B-Complex '100',Solgar,33984011601,50 Tablet(s),0.7 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2020-12-26,On Market,Suggested Use: As a dietary supplement for adults; take one (1) tablet daily; preferably with a meal or as directed by a healthcare practitioner.
https://dsld.od.nih.gov/label/238677,238677,B-Complex '100',Solgar,33984011625,250 Tablet(s),1 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2020-10-23,On Market,Suggested Use: As a dietary supplement for adults; take one (1) tablet daily; preferably with a meal or as directed by a healthcare practitioner.
https://dsld.od.nih.gov/label/238691,238691,Liquid B-Complex with B-12 Sublingual,Rexall Naturalist,30768681371,2 Fluid Ounce(s); 59 mL,0.7 mL,Vitamin [A1302],Liquid [E0165],2020-12-26,On Market,Directions: Shake well before use; for adults place one (1) mL under the tongue and hold there for 30 seconds before swallowing.
https://dsld.od.nih.gov/label/238693,238693,Woad,Hawaii Pharm,6595902080,4 Fluid Ounce(s); 120 mL,0.7 mL,Botanical [A1306],Liquid [E0165],2020-12-26,On Market,Directions for use:Shake well before using. Take about 20-30 drops (0.7-1 ml; one full squeeze of the dropper bulb) to 2-4 oz of juice or water up to 4 times per day.
https://dsld.od.nih.gov/label/238696,238696,Alive! Men's Energy,Nature's Way,33674601945,50 Tablet(s),1 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2020-12-26,Off Market,Recommendation: Men take 1 tablet daily; preferably with food. Once daily
https://dsld.od.nih.gov/label/238702,238702,B-Complex '100',Solgar,33984711501,133 Vegetable Capsule(s),1 Vegetable Capsule(s),Other Combinations [A1325],Capsule [E0159],2020-12-26,On Market,Suggested Use: Adults; take one (1) vegetable capsule daily; preferably with a meal or as directed by a healthcare practitioner.
https://dsld.od.nih.gov/label/238744,238744,AMPED BCAA Plus Raspberry Lemonade Flavor,Isagenix,390101485,9.5 Ounce(s); 270 Gram(s),13.5 Gram(s) [2 Scoops],Other Combinations [A1325],Powder [E0162],2020-12-26,On Market,Consume AMPED BCAA Plus during training to help reduce fatigue and maximize exercise capacity so you can crush your workout.Directions: Mix 2 scoops with 8 fl oz of purified water or beverage of choice. If preferred; pour over ice.
https://dsld.od.nih.gov/label/238745,238745,Glutamine Pure Powder 5000 mg (5 g),Country Life,15794011880,9.7 Ounce(s); 275 Gram(s),5 Gram(s) [One (1) level teaspoon],Amino acid/Protein [A1305],Powder [E0162],2020-12-26,On Market,Directions: Adults; mix one (1) level teaspoon (5 g) with 3/4 - 1 cup (6 - 8 fl. oz.)(178 - 236 mL) of cold water or your favorite beverage one (1) to three (3) times daily after your workout. As a reminder; discuss the supplements and medications that you take with your health care providers.
https://dsld.od.nih.gov/label/238747,238747,Glycemic Factors,Country Life,15794015758,100 Tablet(s),1 Tablet(s),Botanical with Nutrients [A1317],Tablet or Pill [E0155],2020-12-26,On Market,Directions: Adults take one (1) tablet twice daily before a meal.
https://dsld.od.nih.gov/label/238748,238748,AMPED Hydrate Blue Raspberry,Isagenix,390101749,24 Stick(s); 5.4 Ounce(s); 153 Gram(s),6.4 Gram(s) [1 Stick],Other Combinations [A1325],Powder [E0162],2020-12-26,On Market,Directions: Mix 1 stick with 16 fl oz of purified water. If preferred; pour over ice.
https://dsld.od.nih.gov/label/238749,238749,Quercetin + D3,Country Life,15794016243,90 Vegetarian Capsule(s),1 Capsule(s),Other Combinations [A1325],Capsule [E0159],2020-12-26,Off Market,Directions: Adults; take one (1) capsule daily. Once daily
https://dsld.od.nih.gov/label/238751,238751,100% Whey Isolate Protein Chocolate Peppermint,Biochem,15794020875,11.1 Ounce(s); 315 Gram(s),26.2 Gram(s) [(1 scoop)(0.92 oz.)],Other Combinations [A1325],Powder [E0162],2020-12-26,Off Market,Limited EditionMix; blend or shake up a cup of this seasonal classic! Directions: Adults; using scoop provided; add one (1) scoop (26.2 g) (0.92 oz.) to 3/4 cup (6 fl. oz.) (178 mL) of either cold water or your favorite cold beverage. Stir briskly until dissolved for a tasty chocolate peppermint protein beverage. For a creamier texture; use a blender and add ice.
https://dsld.od.nih.gov/label/238754,238754,AMPED Hydrate Coconut,Isagenix,390101745,24 Stick(s); 3.9 Ounce(s); 111 Gram(s),4.6 Gram(s) [1 Stick],Other Combinations [A1325],Powder [E0162],2020-12-26,On Market,Directions: Mix 1 stick with 16 fl oz of purified water. If preferred; pour over ice.
https://dsld.od.nih.gov/label/238755,238755,Zinc 50 mg,Country Life Target-Mins,15794025207,90 Tablet(s),1 Tablet(s),Mineral [A1299],Tablet or Pill [E0155],2020-10-23,On Market,Directions: Adults take one (1) tablet daily with food.
https://dsld.od.nih.gov/label/238757,238757,AMPED Hydrate Lemon Lime,Isagenix,390101747,24 Stick(s); 5 Ounce(s); 141 Gram(s),5.9 Gram(s) [1 Stick],Other Combinations [A1325],Powder [E0162],2020-12-26,On Market,Directions: Mix 1 stick with 16 fl oz of purified water. If preferred; pour over ice.
https://dsld.od.nih.gov/label/238758,238758,AMPED Hydrate Orange,Isagenix,390101751,24 Stick(s); 5.3 Ounce(s); 149 Gram(s),6.2 Gram(s) [1 Stick],Other Combinations [A1325],Powder [E0162],2020-12-26,On Market,Directions: Mix 1 stick with 16 fl oz of purified water. If preferred; pour over ice.
https://dsld.od.nih.gov/label/238760,238760,Zinc 50 mg,Country Life Target-Mins,15794025214,180 Tablet(s),1 Tablet(s),Mineral [A1299],Tablet or Pill [E0155],2020-10-23,On Market,Directions: Adults take one (1) tablet daily with food.
