URL,DSLD_ID,Product_Name,Brand_Name,Bar_Code,Net_Contents,Serving_Size,Product_Type,Supplement_Form,Date Entered into DSLD,Market Status,Suggested_Use
https://dsld.od.nih.gov/label/542,542,B-2 100 mg,Vitamin World,74312706400,100 Easy To Swallow Coated Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-11-25,On Market,DIRECTIONS: For adults; take one (1) to two (2) tablets daily; preferably with a meal.
https://dsld.od.nih.gov/label/543,543,B-6 100 mg,Vitamin World,74312706530,250 Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-11-25,Off Market,DIRECTIONS: For adults; take one (1) tablet daily; preferably with a meal.
https://dsld.od.nih.gov/label/544,544,C-1000 mg With Protective Bioflavonoids And Wild Rose Hips,Vitamin World,74312706950,500 Coated Caplet(s),1 Caplet(s),Other Combinations [A1325],Other (e.g. tea bag) [E0172],2011-11-25,Off Market,DIRECTIONS: For adults; take one (1) to two (2) caplets daily; preferably with meals.
https://dsld.od.nih.gov/label/545,545,Niacin 250 mg,Vitamin World,74312707230,250 Easy To Swallow Coated Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-11-25,On Market,DIRECTIONS: For adults; take one (1) tablet daily; preferably with a meal.
https://dsld.od.nih.gov/label/546,546,Niacinamide 500 mg,Vitamin World,74312707308,100 Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2011-10-26,On Market,DIRECTIONS: For adults; take one (1) tablet daily; preferably with a meal.
https://dsld.od.nih.gov/label/547,547,Brewer's Yeast,Vitamin World,74312707452,500 Tablet(s),2 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2011-11-25,On Market,DIRECTIONS: For adults; take two (2) tablets three times daily; preferably with meals.
https://dsld.od.nih.gov/label/548,548,Mega B-100,Vitamin World,74312707728,100 Coated Caplet(s),1 Caplet(s),Other Combinations [A1325],Other (e.g. tea bag) [E0172],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) caplet daily; preferably with a meal.
https://dsld.od.nih.gov/label/549,549,Gelatin 650 mg,Vitamin World,74312707834,250 Rapid Release Capsule(s),2 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2011-10-26,On Market,DIRECTIONS: For adults; take two (2) capsules after each meal and at bedtime.
https://dsld.od.nih.gov/label/550,550,E-Oil,Vitamin World,74312708107,2.5 fl. Oz.; 74 mL,0.25 mL [5 drops],Vitamin [A1302],Liquid [E0165],2011-10-26,On Market,DIRECTIONS: For adults; take five (5) drops (0.25 mL) daily; preferably with a meal. May be taken orally or put in water; juice or food. As a moisturizer; apply directly to your skin.
https://dsld.od.nih.gov/label/551,551,Creatine Caps 700 mg,Precision Engineered,74312709067,120 Rapid Release Capsule(s),6 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2011-10-26,On Market,DIRECTIONS: For adults; take 6 capsules daily with juice or other glucose-containing liquid.  Take this product with an adequate fluid intake.
https://dsld.od.nih.gov/label/552,552,Hardcore Creatine Powder,Precision Engineered,74312709074,18 oz.; 1.1 lb; 510 g,5 Gram(s) [1 heaping tsp],Non-Nutrient/Non-Botanical [A1309],Powder [E0162],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) heaping teaspoon (5 g) daily.  Mix with juice or other glucose-containing liquid.  Creatine should be consumed within 10 minutes after mixing.  Take this product with an adequate fluid intake.
https://dsld.od.nih.gov/label/553,553,Hardcore Creatine Powder,Precision Engineered,74312709081,35.27 oz.; 2.2 lb; 1 kg,5 Gram(s) [1 heaping tsp],Non-Nutrient/Non-Botanical [A1309],Powder [E0162],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) heaping teaspoon (5 g) daily.  Mix with juice or other glucose-containing liquid.  Creatine should be consumed within 10 minutes after mixing.  Take this product with an adequate fluid intake.
https://dsld.od.nih.gov/label/554,554,Echinacea With Goldenseal Root,Vitamin World,74312709227,100 Rapid Release Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2011-10-26,Off Market,DIRECTIONS: For adults; take one (1) to two (2) capsules three times daily; preferably with meals.
